reels_shortcode,views,plays,likes,comments,timestamp
DV-0NKmEegk,205248,474265,20470,414.0,2026-04-08 00:40:21
DV-450dkw4p,31446,100815,-1,24.0,2026-04-08 00:40:21
DV-Kqspk_bl,6166,20200,888,16.0,2026-04-08 00:40:21
DV-xAhGAYnF,30274,86336,1079,21.0,2026-04-08 00:40:21
DV05t2IAbxx,112007,312113,1701,17.0,2026-04-08 00:40:21
DV0s7P2k1fA,498819,1434259,74875,404.0,2026-04-08 00:40:21
DV2bvxmkmSR,43523,154848,4196,28.0,2026-04-08 00:40:21
DV2qC4EE3lF,4765,31471,101,1.0,2026-04-08 00:40:21
DV2y7Q9EVu_,3592,12205,171,5.0,2026-04-08 00:40:21
DV3OXLZkwH4,29582,106563,-1,27.0,2026-04-08 00:40:21
DV535Enk4rY,31634,96979,4218,50.0,2026-04-08 00:40:21
DV55Do2iagP,11278,48058,1644,13.0,2026-04-08 00:40:21
DV6FkpfgTEm,4937,15062,287,14.0,2026-04-08 00:40:21
DV8P-X2gdBc,86408,201841,5344,42.0,2026-04-08 00:40:21
DV8YGPUD-ur,176670,378506,14587,54.0,2026-04-08 00:40:21
DVizz9yCYcN,26708,93938,5372,56.0,2026-04-08 00:40:21
DVki3-6EZS8,46561,124965,6305,123.0,2026-04-08 00:40:21
DVlRrTqkbLd,167246,541635,26047,28.0,2026-04-08 00:40:21
DVn-awZE7T3,49684,148796,2956,50.0,2026-04-08 00:40:21
DVqO9VLEXTi,20519,62875,7143,60.0,2026-04-08 00:40:21
DVqYK0aj9sW,237887,516236,17925,134.0,2026-04-08 00:40:21
DVsJI2YE-QL,4052,14843,207,3.0,2026-04-08 00:40:21
DVtFLoVETX4,4617,13754,425,9.0,2026-04-08 00:40:21
DVtJQbsExLj,269446,1652974,2141,61.0,2026-04-08 00:40:21
DVvsTyPAXPN,17288,52437,1808,13.0,2026-04-08 00:40:21
DVxgd_0EwaR,2347,12021,78,1.0,2026-04-08 00:40:21
DVyEfyDD8NW,875563,2085265,7970,242.0,2026-04-08 00:40:21
DVyJqDvkn79,115740,355627,9798,55.0,2026-04-08 00:40:21
DVyRBOmgU3K,13588,44367,2203,18.0,2026-04-08 00:40:21
DVySEI7kfJk,23366,69414,973,5.0,2026-04-08 00:40:21
DWA9NDRk18e,3356,10968,86,2.0,2026-04-08 00:40:21
DWBT0aPkl0g,14202,39639,1901,71.0,2026-04-08 00:40:21
DWBta3xD4ea,249735,701131,15705,25.0,2026-04-08 00:40:21
DWEKw_vj_Ye,93409,244843,4562,60.0,2026-04-08 00:40:21
DWEZhZ-gabO,7690,26217,491,17.0,2026-04-08 00:40:21
DWG2VexPzVE,58296,164879,2330,15.0,2026-04-08 00:40:21
DWGoV59ErtN,792196,2205246,25803,47.0,2026-04-08 00:40:21
DWJWfxNkgue,378800,874089,47045,125.0,2026-04-08 00:40:21
DWJd-CrCV_B,64461,228194,5935,14.0,2026-04-08 00:40:21
DWMBe8Kk4rW,20035,78743,-1,23.0,2026-04-08 00:40:21
DWMFtk1iYCA,137068,414230,12325,26.0,2026-04-08 00:40:21
DWOSKrGkXmo,40248,127079,2088,43.0,2026-04-08 00:40:21
DWOmBR9E9jO,58547,192622,7678,24.0,2026-04-08 00:40:21
DWQ-wOVExFb,42670,130376,-1,49.0,2026-04-08 00:40:21
DWQ1q-SkazX,83831,242996,9157,144.0,2026-04-08 00:40:21
DWRLIHmEvqp,73239,173461,5285,44.0,2026-04-08 00:40:21
DWSxGmICe2e,29347,114619,2083,299.0,2026-04-08 00:40:21
DWTabDVkvUb,29378,82472,-1,19.0,2026-04-08 00:40:21
DWTlfWgEuYB,204070,452350,30252,128.0,2026-04-08 00:40:21
DWTqNG4k7NV,18785,87267,2224,10.0,2026-04-08 00:40:21
DWTu2s4Elt9,32881,84937,1971,417.0,2026-04-08 00:40:21
DWWGpIZk_ja,95169,346881,16198,99.0,2026-04-08 00:40:21
DWWIUvpxTpv,265305,473483,27800,173.0,2026-04-08 00:40:21
DWWSY0YE8p8,17413,61636,2753,65.0,2026-04-08 00:40:21
DWWTH4mEdw4,25648,73818,1269,12.0,2026-04-08 00:40:21
DWX6pA8zbet,4213,13330,441,11.0,2026-04-08 00:40:21
DWY4e4lyX2l,63456,181709,11184,63.0,2026-04-08 00:40:21
DWYR7esk642,28191,86779,3381,152.0,2026-04-08 00:40:21
DWYmGYbkThd,79738,230974,8129,263.0,2026-04-08 00:40:21
DWYqNVwE3mI,13846,66292,892,1.0,2026-04-08 00:40:21
DWbNhPcEwNT,21875,88058,-1,16.0,2026-04-08 00:40:21
DWeE07rklED,138011,409127,16704,16.0,2026-04-08 00:40:21
DWg-3ChP_kJ,36512,122382,2701,1.0,2026-04-08 00:40:21
DWgD04iExOI,19303,67353,3196,28.0,2026-04-08 00:40:21
DWgRXvskqrJ,48030,106760,4608,56.0,2026-04-08 00:40:21
DWgSHk9E03s,25456,79499,-1,27.0,2026-04-08 00:40:21
DWgfbz9j2m7,33141,96364,2952,31.0,2026-04-08 00:40:21
DWghR0Fk4GT,134361,411442,17662,134.0,2026-04-08 00:40:21
DWgnPL0CYTE,12177,64200,1115,3.0,2026-04-08 00:40:21
DWiObFjhVF3,21104,229988,558,13.0,2026-04-08 00:40:21
DWi_O8yD2qO,195808,460490,21727,157.0,2026-04-08 00:40:21
DWjC2e8k_S6,525352,1251069,33086,239.0,2026-04-08 00:40:21
DWjF34akr-4,36409,119016,2389,11.0,2026-04-08 00:40:21
DWjN7G5khQJ,1118,6169,48,1.0,2026-04-08 00:40:21
DWjQFUGCQ1b,11200,48925,1799,2.0,2026-04-08 00:40:21
DWlJh8VEqXj,28965,105053,973,1457.0,2026-04-08 00:40:21
DWliwYThuSB,3267,17295,460,6.0,2026-04-08 00:40:21
DWlqX3yEwdZ,178242,530472,29944,87.0,2026-04-08 00:40:21
DWlwWKAk3hH,11303,63238,164,1.0,2026-04-08 00:40:21
DWlwhidEl7Q,11620,48288,608,1062.0,2026-04-08 00:40:21
DWn50R4SuOr,102966,353754,16998,116.0,2026-04-08 00:40:21
DWnbjankwpO,62530,158030,-1,31.0,2026-04-08 00:40:21
DWnqoqVkX-L,2146,8408,62,,2026-04-08 00:40:21
DWoGI1iCSDv,43264,136330,2983,19.0,2026-04-08 00:40:21
DWoGRUtE2bj,16115,138488,589,2.0,2026-04-08 00:40:21
DWoO9DCyntz,60175,198275,8917,7.0,2026-04-08 00:40:21
DWoPXpfky77,71846,275627,13982,22.0,2026-04-08 00:40:21
DWoS0TPEyWp,42228,137610,1457,6.0,2026-04-08 00:40:21
DWoTfDtCQg8,29976,121268,2948,2.0,2026-04-08 00:40:21
DWoUWrrE8un,22061,73661,982,26.0,2026-04-08 00:40:21
DWp76lzkwiz,15707,79763,1698,18.0,2026-04-08 00:40:21
DWp8N7DzqWc,39799,148441,1580,28.0,2026-04-08 00:40:21
DWtMKHYkjlD,28090,112747,1249,335.0,2026-04-08 00:40:21
DWtW8snxw5K,215405,513940,33111,129.0,2026-04-08 00:40:21
DWtcuHwElRR,19041,85892,1847,3.0,2026-04-08 00:40:21
DWtkWWmkxZ5,147433,512238,36119,112.0,2026-04-08 00:40:21
DV-0NKmEegk,204883,473594,20445,414.0,2026-04-07 20:12:07
DV-450dkw4p,31382,100684,-1,24.0,2026-04-07 20:12:07
DV-Kqspk_bl,6159,20192,888,16.0,2026-04-07 20:12:07
DV-xAhGAYnF,30136,85941,1078,21.0,2026-04-07 20:12:07
DV05t2IAbxx,111952,311984,1701,17.0,2026-04-07 20:12:07
DV0s7P2k1fA,497862,1432188,74752,403.0,2026-04-07 20:12:07
DV2bvxmkmSR,43424,154625,4193,28.0,2026-04-07 20:12:07
DV2qC4EE3lF,4765,31462,101,1.0,2026-04-07 20:12:07
DV2y7Q9EVu_,3587,12197,171,5.0,2026-04-07 20:12:07
DV3OXLZkwH4,29502,106412,-1,27.0,2026-04-07 20:12:07
DV535Enk4rY,31570,96843,4213,50.0,2026-04-07 20:12:07
DV55Do2iagP,11267,48028,1644,13.0,2026-04-07 20:12:07
DV6FkpfgTEm,4932,15047,287,14.0,2026-04-07 20:12:07
DV8P-X2gdBc,85838,200726,5318,42.0,2026-04-07 20:12:07
DV8YGPUD-ur,175967,377175,14537,54.0,2026-04-07 20:12:07
DVizz9yCYcN,26700,93922,5372,56.0,2026-04-07 20:12:07
DVki3-6EZS8,46514,124872,6302,123.0,2026-04-07 20:12:07
DVlRrTqkbLd,166992,541153,26028,28.0,2026-04-07 20:12:07
DVn-awZE7T3,49631,148691,2956,50.0,2026-04-07 20:12:07
DVqO9VLEXTi,20507,62853,7143,60.0,2026-04-07 20:12:07
DVqYK0aj9sW,237169,514887,17889,134.0,2026-04-07 20:12:07
DVsJI2YE-QL,4051,14838,207,3.0,2026-04-07 20:12:07
DVtFLoVETX4,4615,13749,425,9.0,2026-04-07 20:12:07
DVtJQbsExLj,269430,1652916,2141,61.0,2026-04-07 20:12:07
DVvsTyPAXPN,17282,52426,1808,13.0,2026-04-07 20:12:07
DVxgd_0EwaR,2347,12017,78,1.0,2026-04-07 20:12:07
DVyEfyDD8NW,875406,2085025,7967,242.0,2026-04-07 20:12:07
DVyJqDvkn79,115577,355252,9793,55.0,2026-04-07 20:12:07
DVyRBOmgU3K,13579,44352,2203,18.0,2026-04-07 20:12:07
DVySEI7kfJk,23354,69394,973,5.0,2026-04-07 20:12:07
DWA9NDRk18e,3344,10942,86,2.0,2026-04-07 20:12:07
DWBT0aPkl0g,14153,39495,1899,71.0,2026-04-07 20:12:07
DWBta3xD4ea,248701,698973,15656,25.0,2026-04-07 20:12:07
DWEKw_vj_Ye,93313,244620,4558,60.0,2026-04-07 20:12:07
DWEZhZ-gabO,7686,26208,491,17.0,2026-04-07 20:12:07
DWG2VexPzVE,58134,164347,2326,15.0,2026-04-07 20:12:07
DWGoV59ErtN,792068,2204986,25800,47.0,2026-04-07 20:12:07
DWJWfxNkgue,376970,870991,46871,124.0,2026-04-07 20:12:07
DWJd-CrCV_B,64358,228023,5933,14.0,2026-04-07 20:12:07
DWMBe8Kk4rW,19993,78647,-1,23.0,2026-04-07 20:12:07
DWMFtk1iYCA,136474,412915,12275,26.0,2026-04-07 20:12:07
DWOSKrGkXmo,40230,127035,2088,43.0,2026-04-07 20:12:07
DWOmBR9E9jO,58400,192348,7674,24.0,2026-04-07 20:12:07
DWQ-wOVExFb,42570,130171,-1,49.0,2026-04-07 20:12:07
DWQ1q-SkazX,83619,242543,9148,144.0,2026-04-07 20:12:07
DWRLIHmEvqp,73185,173341,5282,44.0,2026-04-07 20:12:07
DWSxGmICe2e,29304,114499,2080,299.0,2026-04-07 20:12:07
DWTabDVkvUb,29293,82268,-1,19.0,2026-04-07 20:12:07
DWTlfWgEuYB,202262,448821,30067,126.0,2026-04-07 20:12:07
DWTqNG4k7NV,18684,86894,2221,10.0,2026-04-07 20:12:07
DWTu2s4Elt9,32766,84715,1969,417.0,2026-04-07 20:12:07
DWWGpIZk_ja,94882,346133,16199,99.0,2026-04-07 20:12:07
DWWIUvpxTpv,262211,468348,27523,173.0,2026-04-07 20:12:07
DWWSY0YE8p8,17381,61551,2751,65.0,2026-04-07 20:12:07
DWWTH4mEdw4,25582,73667,1268,12.0,2026-04-07 20:12:07
DWX6pA8zbet,4187,13280,441,11.0,2026-04-07 20:12:07
DWY4e4lyX2l,63162,181073,11127,63.0,2026-04-07 20:12:07
DWYR7esk642,28135,86654,3375,152.0,2026-04-07 20:12:07
DWYmGYbkThd,79454,230301,8114,263.0,2026-04-07 20:12:07
DWYqNVwE3mI,13717,65769,888,1.0,2026-04-07 20:12:07
DWbNhPcEwNT,21720,87693,-1,16.0,2026-04-07 20:12:07
DWeE07rklED,137289,407484,16634,16.0,2026-04-07 20:12:07
DWg-3ChP_kJ,36181,121657,2691,1.0,2026-04-07 20:12:07
DWgD04iExOI,19249,67159,3195,28.0,2026-04-07 20:12:07
DWgRXvskqrJ,47973,106621,4603,56.0,2026-04-07 20:12:07
DWgSHk9E03s,25352,79259,-1,27.0,2026-04-07 20:12:07
DWgfbz9j2m7,32825,95798,2941,31.0,2026-04-07 20:12:07
DWghR0Fk4GT,133813,410253,17632,134.0,2026-04-07 20:12:07
DWgnPL0CYTE,12126,64044,1113,3.0,2026-04-07 20:12:07
DWiObFjhVF3,20403,216907,556,13.0,2026-04-07 20:12:07
DWi_O8yD2qO,193748,456540,21562,156.0,2026-04-07 20:12:07
DWjC2e8k_S6,522879,1246466,32947,239.0,2026-04-07 20:12:07
DWjF34akr-4,36158,118499,2382,11.0,2026-04-07 20:12:07
DWjN7G5khQJ,1109,6111,48,1.0,2026-04-07 20:12:07
DWjQFUGCQ1b,11156,48759,1797,2.0,2026-04-07 20:12:07
DWlJh8VEqXj,28843,104690,970,1453.0,2026-04-07 20:12:07
DWliwYThuSB,3246,17208,458,6.0,2026-04-07 20:12:07
DWlqX3yEwdZ,177345,528555,29846,87.0,2026-04-07 20:12:07
DWlwWKAk3hH,10915,60592,157,1.0,2026-04-07 20:12:07
DWlwhidEl7Q,11513,47962,606,1054.0,2026-04-07 20:12:07
DWn50R4SuOr,100606,348943,16793,113.0,2026-04-07 20:12:07
DWnbjankwpO,61844,156805,-1,31.0,2026-04-07 20:12:07
DWnqoqVkX-L,2111,8320,60,,2026-04-07 20:12:07
DWoGI1iCSDv,43074,135750,2973,19.0,2026-04-07 20:12:07
DWoGRUtE2bj,15846,133488,584,2.0,2026-04-07 20:12:07
DWoO9DCyntz,59524,196840,8880,7.0,2026-04-07 20:12:07
DWoPXpfky77,70955,273997,13986,21.0,2026-04-07 20:12:07
DWoS0TPEyWp,41749,135905,1439,6.0,2026-04-07 20:12:07
DWoTfDtCQg8,29824,120822,2937,2.0,2026-04-07 20:12:07
DWoUWrrE8un,21947,73323,981,26.0,2026-04-07 20:12:07
DWp76lzkwiz,15542,79148,1689,18.0,2026-04-07 20:12:07
DWp8N7DzqWc,39632,147974,1576,28.0,2026-04-07 20:12:07
DWtMKHYkjlD,27879,112050,1242,335.0,2026-04-07 20:12:07
DWtW8snxw5K,210472,503391,32482,129.0,2026-04-07 20:12:07
DWtcuHwElRR,18668,82843,1832,3.0,2026-04-07 20:12:07
DWtkWWmkxZ5,145538,507606,35720,112.0,2026-04-07 20:12:07
DV-0NKmEegk,201773,467805,20273,411.0,2026-04-05 02:56:15
DV-450dkw4p,30855,99689,-1,24.0,2026-04-05 02:56:15
DV-Kqspk_bl,6046,20005,884,16.0,2026-04-05 02:56:15
DV-xAhGAYnF,27932,80139,1027,19.0,2026-04-05 02:56:15
DV05t2IAbxx,111458,310850,1696,17.0,2026-04-05 02:56:15
DV0s7P2k1fA,489440,1414072,73820,402.0,2026-04-05 02:56:15
DV2bvxmkmSR,43148,153899,4188,28.0,2026-04-05 02:56:15
DV2qC4EE3lF,4703,31265,101,1.0,2026-04-05 02:56:15
DV2y7Q9EVu_,3550,12115,171,5.0,2026-04-05 02:56:15
DV3OXLZkwH4,28845,105148,-1,26.0,2026-04-05 02:56:15
DV535Enk4rY,30916,95444,4168,50.0,2026-04-05 02:56:15
DV55Do2iagP,11078,47497,1637,13.0,2026-04-05 02:56:15
DV6FkpfgTEm,4881,14936,285,14.0,2026-04-05 02:56:15
DV8P-X2gdBc,82628,194495,5129,41.0,2026-04-05 02:56:15
DV8YGPUD-ur,172316,370804,14294,52.0,2026-04-05 02:56:15
DVgKS2YkwFn,37781,125037,10180,139.0,2026-04-05 02:56:15
DVgTahxkRmw,36481,109120,1935,1.0,2026-04-05 02:56:15
DVizz9yCYcN,26644,93778,5370,56.0,2026-04-05 02:56:15
DVki3-6EZS8,46106,124092,6280,123.0,2026-04-05 02:56:15
DVlRrTqkbLd,164200,535242,25818,28.0,2026-04-05 02:56:15
DVn-awZE7T3,49208,147877,2944,49.0,2026-04-05 02:56:15
DVqO9VLEXTi,20407,62569,7140,60.0,2026-04-05 02:56:15
DVqYK0aj9sW,235227,511416,17809,134.0,2026-04-05 02:56:15
DVsJI2YE-QL,4017,14734,207,3.0,2026-04-05 02:56:15
DVtFLoVETX4,4590,13694,425,9.0,2026-04-05 02:56:15
DVtJQbsExLj,269158,1652187,2134,61.0,2026-04-05 02:56:15
DVvsTyPAXPN,17207,52299,1804,13.0,2026-04-05 02:56:15
DVxgd_0EwaR,2331,11893,77,1.0,2026-04-05 02:56:15
DVyEfyDD8NW,875146,2084573,7964,242.0,2026-04-05 02:56:15
DVyJqDvkn79,114502,352842,9759,55.0,2026-04-05 02:56:15
DVyRBOmgU3K,13485,44181,2199,18.0,2026-04-05 02:56:15
DVySEI7kfJk,23147,69008,972,5.0,2026-04-05 02:56:15
DWA9NDRk18e,3032,10314,85,2.0,2026-04-05 02:56:15
DWBT0aPkl0g,13691,38551,1856,71.0,2026-04-05 02:56:15
DWBta3xD4ea,237789,676818,15028,25.0,2026-04-05 02:56:15
DWEKw_vj_Ye,93042,244054,4549,60.0,2026-04-05 02:56:15
DWEZhZ-gabO,7631,26081,488,17.0,2026-04-05 02:56:15
DWG2VexPzVE,57083,161634,2320,15.0,2026-04-05 02:56:15
DWGoV59ErtN,791679,2204168,25790,47.0,2026-04-05 02:56:15
DWJWfxNkgue,361903,845430,45027,124.0,2026-04-05 02:56:15
DWJd-CrCV_B,62796,225448,5912,14.0,2026-04-05 02:56:15
DWMBe8Kk4rW,19566,77646,-1,23.0,2026-04-05 02:56:15
DWMFtk1iYCA,128657,394771,11700,26.0,2026-04-05 02:56:15
DWOSKrGkXmo,39644,125439,2068,43.0,2026-04-05 02:56:15
DWOmBR9E9jO,53876,182035,7415,23.0,2026-04-05 02:56:15
DWQ-wOVExFb,41163,126904,-1,49.0,2026-04-05 02:56:15
DWQ1q-SkazX,81460,236864,8975,142.0,2026-04-05 02:56:15
DWRLIHmEvqp,72339,171361,5237,44.0,2026-04-05 02:56:15
DWSxGmICe2e,28609,112664,2035,298.0,2026-04-05 02:56:15
DWTabDVkvUb,27959,79002,-1,18.0,2026-04-05 02:56:15
DWTlfWgEuYB,192959,430924,28863,126.0,2026-04-05 02:56:15
DWTqNG4k7NV,16717,79705,2108,10.0,2026-04-05 02:56:15
DWTu2s4Elt9,31333,81621,1913,416.0,2026-04-05 02:56:15
DWWGpIZk_ja,91884,337127,16002,96.0,2026-04-05 02:56:15
DWWIUvpxTpv,238896,431510,25140,167.0,2026-04-05 02:56:15
DWWSY0YE8p8,16987,60440,2706,65.0,2026-04-05 02:56:15
DWWTH4mEdw4,24358,70571,1229,11.0,2026-04-05 02:56:15
DWX6pA8zbet,3463,11808,409,11.0,2026-04-05 02:56:15
DWY4e4lyX2l,60626,175032,10688,63.0,2026-04-05 02:56:15
DWYR7esk642,27270,84496,3310,151.0,2026-04-05 02:56:15
DWYmGYbkThd,76923,223915,7967,262.0,2026-04-05 02:56:15
DWYqNVwE3mI,10210,57066,808,1.0,2026-04-05 02:56:15
DWbNhPcEwNT,20280,83576,-1,16.0,2026-04-05 02:56:15
DWeE07rklED,129798,390036,15831,16.0,2026-04-05 02:56:15
DWg-3ChP_kJ,31712,111657,2501,1.0,2026-04-05 02:56:15
DWgD04iExOI,18143,63390,3127,28.0,2026-04-05 02:56:15
DWgRXvskqrJ,46517,103911,4489,56.0,2026-04-05 02:56:15
DWgSHk9E03s,23871,75733,-1,27.0,2026-04-05 02:56:15
DWgfbz9j2m7,31189,91598,2873,30.0,2026-04-05 02:56:15
DWghR0Fk4GT,128247,395838,17289,133.0,2026-04-05 02:56:15
DWgnPL0CYTE,10495,59640,1042,2.0,2026-04-05 02:56:15
DWiObFjhVF3,14850,121229,521,12.0,2026-04-05 02:56:15
DWi_O8yD2qO,182653,434054,20582,152.0,2026-04-05 02:56:15
DWjC2e8k_S6,489737,1182598,31396,234.0,2026-04-05 02:56:15
DWjF34akr-4,34546,114040,2299,11.0,2026-04-05 02:56:15
DWjN7G5khQJ,847,4893,42,1.0,2026-04-05 02:56:15
DWjQFUGCQ1b,9969,44678,1692,2.0,2026-04-05 02:56:15
DWlJh8VEqXj,23169,86402,894,1363.0,2026-04-05 02:56:15
DWliwYThuSB,2910,15483,427,5.0,2026-04-05 02:56:15
DWlqX3yEwdZ,166139,502236,28669,86.0,2026-04-05 02:56:15
DWlwWKAk3hH,7384,36767,137,1.0,2026-04-05 02:56:15
DWlwhidEl7Q,10054,42530,568,949.0,2026-04-05 02:56:15
DWn50R4SuOr,89994,318345,15429,110.0,2026-04-05 02:56:15
DWnbjankwpO,48472,131372,-1,26.0,2026-04-05 02:56:15
DWnqoqVkX-L,1488,6766,52,,2026-04-05 02:56:15
DWoGI1iCSDv,39124,124179,2753,19.0,2026-04-05 02:56:15
DWoGRUtE2bj,10006,73793,525,2.0,2026-04-05 02:56:15
DWoO9DCyntz,50579,176861,8270,7.0,2026-04-05 02:56:15
DWoPXpfky77,44819,159129,7625,20.0,2026-04-05 02:56:15
DWoS0TPEyWp,34738,115383,1265,4.0,2026-04-05 02:56:15
DWoTfDtCQg8,25826,110087,2674,2.0,2026-04-05 02:56:15
DWoUWrrE8un,19930,67937,916,24.0,2026-04-05 02:56:15
DWp76lzkwiz,11252,65135,1500,17.0,2026-04-05 02:56:15
DWp8N7DzqWc,36504,138602,1503,28.0,2026-04-05 02:56:15
DWtMKHYkjlD,16924,71534,863,197.0,2026-04-05 02:56:15
<<<<<<< HEAD
DWtMKHYkjlD,29816,120097,1270,348,2026-04-09 03:51:33
DWp76lzkwiz,16166,81383,1725,18,2026-04-09 03:51:33
DWp8N7DzqWc,40502,150610,1591,29,2026-04-09 03:51:33
DWoUWrrE8un,22417,74563,997,26,2026-04-09 03:51:33
DWoTfDtCQg8,30576,123172,2998,2,2026-04-09 03:51:33
DWoS0TPEyWp,43591,141973,1504,6,2026-04-09 03:51:33
=======
DWtMKHYkjlD,28773,115431,1256,338,2026-04-08 12:46:14
DWp76lzkwiz,15850,80282,1711,18,2026-04-08 12:46:14
DWp8N7DzqWc,40068,149182,1583,28,2026-04-08 12:46:14
DWoUWrrE8un,22194,73983,988,26,2026-04-08 12:46:14
DWoTfDtCQg8,30202,121921,2971,2,2026-04-08 12:46:14
DWoS0TPEyWp,42810,139724,1476,6,2026-04-08 12:46:14
DWoPXpfky77,72578,277112,13995,22,2026-04-08 12:46:14
DWoO9DCyntz,60657,199272,8940,7,2026-04-08 12:46:14
DWoGI1iCSDv,43709,137501,2999,19,2026-04-08 12:46:14
DWoGRUtE2bj,16447,142794,590,2,2026-04-08 12:46:14
DWn50R4SuOr,104628,357200,17134,117,2026-04-08 12:46:14
DWnqoqVkX-L,2237,8682,67,,2026-04-08 12:46:14
DWnbjankwpO,63152,159231,-1,31,2026-04-08 12:46:14
DWlwhidEl7Q,11817,48801,614,1081,2026-04-08 12:46:14
DWlwWKAk3hH,11575,65390,166,1,2026-04-08 12:46:14
DWlqX3yEwdZ,179056,532312,30030,88,2026-04-08 12:46:14
DWliwYThuSB,3299,17413,461,6,2026-04-08 12:46:14
DWlJh8VEqXj,36306,124537,1058,1512,2026-04-08 12:46:14
DWjQFUGCQ1b,11258,49144,1804,2,2026-04-08 12:46:14
DWjN7G5khQJ,1144,6273,50,1,2026-04-08 12:46:14
DWjF34akr-4,36693,119596,2399,11,2026-04-08 12:46:14
DWjC2e8k_S6,527536,1255420,33198,239,2026-04-08 12:46:14
DWi_O8yD2qO,197533,463878,21938,157,2026-04-08 12:46:14
DWiObFjhVF3,21573,238669,558,13,2026-04-08 12:46:14
DWg-3ChP_kJ,36772,123016,2713,1,2026-04-08 12:46:14
DWgnPL0CYTE,12232,64414,1122,3,2026-04-08 12:46:14
DWghR0Fk4GT,134827,412474,17684,134,2026-04-08 12:46:14
DWgfbz9j2m7,33408,96905,2960,31,2026-04-08 12:46:14
DWgSHk9E03s,25551,79715,-1,27,2026-04-08 12:46:14
DWgRXvskqrJ,48109,106920,4616,56,2026-04-08 12:46:14
DWgD04iExOI,19382,67592,3202,28,2026-04-08 12:46:14
DWeE07rklED,138359,409963,16740,16,2026-04-08 12:46:14
DWbNhPcEwNT,22040,88490,-1,16,2026-04-08 12:46:14
DWY4e4lyX2l,63691,182259,11229,63,2026-04-08 12:46:14
DWYqNVwE3mI,14018,66790,896,1,2026-04-08 12:46:14
DWYmGYbkThd,80060,231752,8142,263,2026-04-08 12:46:14
DWYR7esk642,28248,86935,3381,152,2026-04-08 12:46:14
DWX6pA8zbet,4292,13508,448,11,2026-04-08 12:46:14
DWWTH4mEdw4,25716,73962,1270,12,2026-04-08 12:46:14
DWWSY0YE8p8,17459,61741,2757,65,2026-04-08 12:46:14
DWWIUvpxTpv,266955,476313,27928,173,2026-04-08 12:46:14
DWWGpIZk_ja,95499,347757,16202,99,2026-04-08 12:46:14
DWTu2s4Elt9,32975,85137,1980,417,2026-04-08 12:46:14
DWTqNG4k7NV,18891,87661,2230,10,2026-04-08 12:46:14
DWTlfWgEuYB,205803,455726,30473,130,2026-04-08 12:46:14
DWTabDVkvUb,29494,82770,-1,19,2026-04-08 12:46:14
DWSxGmICe2e,29388,114727,2084,299,2026-04-08 12:46:14
DWRLIHmEvqp,73289,173559,5287,44,2026-04-08 12:46:14
DWQ-wOVExFb,42754,130534,-1,49,2026-04-08 12:46:14
DWQ1q-SkazX,84011,243414,9171,144,2026-04-08 12:46:14
DWOmBR9E9jO,58678,192840,7681,24,2026-04-08 12:46:14
DWOSKrGkXmo,40257,127107,2088,43,2026-04-08 12:46:14
DWMFtk1iYCA,137641,415548,12372,26,2026-04-08 12:46:14
DWMBe8Kk4rW,20073,78818,-1,23,2026-04-08 12:46:14
DWJd-CrCV_B,64571,228381,5936,14,2026-04-08 12:46:14
DWJWfxNkgue,380196,876494,47156,125,2026-04-08 12:46:14
DWG2VexPzVE,58427,165337,2331,15,2026-04-08 12:46:14
DWGoV59ErtN,792330,2205510,25809,47,2026-04-08 12:46:14
DWEZhZ-gabO,7696,26234,491,17,2026-04-08 12:46:14
DWEKw_vj_Ye,93497,245033,4566,60,2026-04-08 12:46:14
DWBta3xD4ea,250569,702841,15749,25,2026-04-08 12:46:14
DWBT0aPkl0g,14243,39741,1905,71,2026-04-08 12:46:14
DWA9NDRk18e,3392,11029,88,2,2026-04-08 12:46:14
DV-450dkw4p,31490,100898,-1,24,2026-04-08 12:46:14
DV-xAhGAYnF,30467,86789,1083,21,2026-04-08 12:46:14
DV-0NKmEegk,205568,474830,20480,415,2026-04-08 12:46:14
DV-Kqspk_bl,6173,20212,889,16,2026-04-08 12:46:14
DV8YGPUD-ur,177320,379638,14633,54,2026-04-08 12:46:14
DV8P-X2gdBc,86870,202696,5363,42,2026-04-08 12:46:14
DV6FkpfgTEm,4941,15076,287,14,2026-04-08 12:46:14
DV55Do2iagP,11293,48101,1644,13,2026-04-08 12:46:14
DV535Enk4rY,31691,97083,4227,50,2026-04-08 12:46:14
DV3OXLZkwH4,29668,106727,-1,27,2026-04-08 12:46:14
DV2y7Q9EVu_,3597,12213,172,6,2026-04-08 12:46:14
DV2qC4EE3lF,4770,31488,101,1,2026-04-08 12:46:14
DV2bvxmkmSR,43629,155077,4199,28,2026-04-08 12:46:14
DV05t2IAbxx,112043,312195,1702,17,2026-04-08 12:46:14
DV0s7P2k1fA,499513,1435755,74939,404,2026-04-08 12:46:14
DVySEI7kfJk,23378,69438,973,5,2026-04-08 12:46:14
DVyRBOmgU3K,13602,44384,2203,18,2026-04-08 12:46:14
DVyJqDvkn79,115923,356000,9808,56,2026-04-08 12:46:14
DVyEfyDD8NW,875664,2085435,7972,242,2026-04-08 12:46:14
DVxgd_0EwaR,2351,12035,78,1,2026-04-08 12:46:14
DVvsTyPAXPN,17299,52454,1809,13,2026-04-08 12:46:14
DVtJQbsExLj,269469,1653033,2141,61,2026-04-08 12:46:14
